index,cross_entropy,hyper_params
371,0.4455252971,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.8, 'importance_type': 'split', 'learning_rate': 0.18029395610130025, 'max_depth': -1, 'min_child_samples': 175, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 85, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.5779591836734692, 'reg_lambda': 0.28, 'silent': 'warn', 'subsample': 0.9727272727272728, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'is_unbalance': True}"
778,0.4455450404,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7333333333333334, 'importance_type': 'split', 'learning_rate': 0.04093976164573821, 'max_depth': -1, 'min_child_samples': 125, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 34, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.0983673469387755, 'reg_lambda': 0.42000000000000004, 'silent': 'warn', 'subsample': 0.7318181818181819, 'subsample_for_bin': 260000, 'subsample_freq': 0, 'is_unbalance': True}"
441,0.4455704179,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6666666666666666, 'importance_type': 'split', 'learning_rate': 0.031217405485813005, 'max_depth': -1, 'min_child_samples': 40, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 53, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.6546938775510203, 'reg_lambda': 0.46, 'silent': 'warn', 'subsample': 0.8727272727272728, 'subsample_for_bin': 40000, 'subsample_freq': 0, 'is_unbalance': False}"
891,0.4455976982,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6222222222222222, 'importance_type': 'split', 'learning_rate': 0.06732829417476803, 'max_depth': -1, 'min_child_samples': 55, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 125, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.6930612244897958, 'reg_lambda': 0.42000000000000004, 'silent': 'warn', 'subsample': 0.7545454545454546, 'subsample_for_bin': 180000, 'subsample_freq': 0, 'is_unbalance': False}"
968,0.4456013466,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7333333333333334, 'importance_type': 'split', 'learning_rate': 0.047411177197784767, 'max_depth': -1, 'min_child_samples': 145, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 115, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.2518367346938775, 'reg_lambda': 0.12000000000000001, 'silent': 'warn', 'subsample': 0.8090909090909091, 'subsample_for_bin': 100000, 'subsample_freq': 0, 'is_unbalance': False}"
65,0.4456796886,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7555555555555555, 'importance_type': 'split', 'learning_rate': 0.1514826391377712, 'max_depth': -1, 'min_child_samples': 130, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 127, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.0983673469387755, 'reg_lambda': 0.46, 'silent': 'warn', 'subsample': 0.55, 'subsample_for_bin': 100000, 'subsample_freq': 0, 'is_unbalance': True}"
295,0.4456983566,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7777777777777778, 'importance_type': 'split', 'learning_rate': 0.03388796073831256, 'max_depth': -1, 'min_child_samples': 55, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 90, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.2710204081632653, 'reg_lambda': 0.7000000000000001, 'silent': 'warn', 'subsample': 0.9227272727272727, 'subsample_for_bin': 140000, 'subsample_freq': 0, 'is_unbalance': False}"
748,0.4456992278,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7777777777777778, 'importance_type': 'split', 'learning_rate': 0.07129246416878401, 'max_depth': -1, 'min_child_samples': 225, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 95, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.07918367346938775, 'reg_lambda': 0.22, 'silent': 'warn', 'subsample': 0.6045454545454546, 'subsample_for_bin': 240000, 'subsample_freq': 0, 'is_unbalance': False}"
126,0.4457078875,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7333333333333334, 'importance_type': 'split', 'learning_rate': 0.20672621412095887, 'max_depth': -1, 'min_child_samples': 220, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 38, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.136734693877551, 'reg_lambda': 0.48000000000000004, 'silent': 'warn', 'subsample': 0.9227272727272727, 'subsample_for_bin': 20000, 'subsample_freq': 0, 'is_unbalance': False}"
850,0.4457178152,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7111111111111111, 'importance_type': 'split', 'learning_rate': 0.07129246416878401, 'max_depth': -1, 'min_child_samples': 115, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 65, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.673877551020408, 'reg_lambda': 0.04, 'silent': 'warn', 'subsample': 0.75, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'is_unbalance': False}"
455,0.4457216784,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6666666666666666, 'importance_type': 'split', 'learning_rate': 0.030678560300965184, 'max_depth': -1, 'min_child_samples': 45, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 134, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.3285714285714285, 'reg_lambda': 0.36000000000000004, 'silent': 'warn', 'subsample': 0.8181818181818182, 'subsample_for_bin': 60000, 'subsample_freq': 0, 'is_unbalance': False}"
379,0.4457231528,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6222222222222222, 'importance_type': 'split', 'learning_rate': 0.22949146300031462, 'max_depth': -1, 'min_child_samples': 160, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 68, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.11755102040816326, 'reg_lambda': 0.32, 'silent': 'warn', 'subsample': 0.6090909090909091, 'subsample_for_bin': 260000, 'subsample_freq': 0, 'is_unbalance': False}"
226,0.445723474,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7333333333333334, 'importance_type': 'split', 'learning_rate': 0.09349580609874111, 'max_depth': -1, 'min_child_samples': 185, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 139, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.5204081632653061, 'reg_lambda': 0.12000000000000001, 'silent': 'warn', 'subsample': 0.6000000000000001, 'subsample_for_bin': 180000, 'subsample_freq': 0, 'is_unbalance': True}"
487,0.4458163568,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7111111111111111, 'importance_type': 'split', 'learning_rate': 0.23703361182430854, 'max_depth': -1, 'min_child_samples': 175, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 59, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.40530612244897957, 'reg_lambda': 0.46, 'silent': 'warn', 'subsample': 0.6909090909090909, 'subsample_for_bin': 40000, 'subsample_freq': 0, 'is_unbalance': True}"
650,0.4458165821,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6, 'importance_type': 'split', 'learning_rate': 0.23880901576231656, 'max_depth': -1, 'min_child_samples': 155, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 102, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.3285714285714285, 'reg_lambda': 0.64, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 60000, 'subsample_freq': 0, 'is_unbalance': True}"
979,0.4458297446,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7111111111111111, 'importance_type': 'split', 'learning_rate': 0.2087933186904181, 'max_depth': -1, 'min_child_samples': 155, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 50, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.3477551020408163, 'reg_lambda': 0.7200000000000001, 'silent': 'warn', 'subsample': 0.65, 'subsample_for_bin': 180000, 'subsample_freq': 0, 'is_unbalance': True}"
162,0.4458309705,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6222222222222222, 'importance_type': 'split', 'learning_rate': 0.13645576216471242, 'max_depth': -1, 'min_child_samples': 125, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 120, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.9424489795918367, 'reg_lambda': 0.4, 'silent': 'warn', 'subsample': 0.65, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'is_unbalance': True}"
826,0.445847336,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7555555555555555, 'importance_type': 'split', 'learning_rate': 0.04083805487131658, 'max_depth': -1, 'min_child_samples': 110, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 59, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.40530612244897957, 'reg_lambda': 0.12000000000000001, 'silent': 'warn', 'subsample': 0.7045454545454546, 'subsample_for_bin': 140000, 'subsample_freq': 0, 'is_unbalance': False}"
120,0.4458600833,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6222222222222222, 'importance_type': 'split', 'learning_rate': 0.07164801272636082, 'max_depth': -1, 'min_child_samples': 105, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 94, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.21346938775510202, 'reg_lambda': 0.1, 'silent': 'warn', 'subsample': 0.7000000000000001, 'subsample_for_bin': 260000, 'subsample_freq': 0, 'is_unbalance': True}"
474,0.4458895687,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7111111111111111, 'importance_type': 'split', 'learning_rate': 0.10073954281543326, 'max_depth': -1, 'min_child_samples': 205, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 108, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.3285714285714285, 'reg_lambda': 0.12000000000000001, 'silent': 'warn', 'subsample': 0.7772727272727273, 'subsample_for_bin': 100000, 'subsample_freq': 0, 'is_unbalance': False}"
718,0.4459018195,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6444444444444445, 'importance_type': 'split', 'learning_rate': 0.221637311509857, 'max_depth': -1, 'min_child_samples': 220, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 41, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.07918367346938775, 'reg_lambda': 0.34, 'silent': 'warn', 'subsample': 0.7636363636363637, 'subsample_for_bin': 240000, 'subsample_freq': 0, 'is_unbalance': False}"
9,0.4459226231,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6666666666666666, 'importance_type': 'split', 'learning_rate': 0.04848451909914216, 'max_depth': -1, 'min_child_samples': 180, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 32, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.30938775510204075, 'reg_lambda': 0.88, 'silent': 'warn', 'subsample': 0.8863636363636365, 'subsample_for_bin': 180000, 'subsample_freq': 0, 'is_unbalance': False}"
720,0.4459370897,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6888888888888889, 'importance_type': 'split', 'learning_rate': 0.2098346091571959, 'max_depth': -1, 'min_child_samples': 140, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 115, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.06, 'reg_lambda': 0.02, 'silent': 'warn', 'subsample': 0.5909090909090909, 'subsample_for_bin': 100000, 'subsample_freq': 0, 'is_unbalance': False}"
559,0.4459719239,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7555555555555555, 'importance_type': 'split', 'learning_rate': 0.1568507226425627, 'max_depth': -1, 'min_child_samples': 135, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 128, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.48204081632653056, 'reg_lambda': 0.06, 'silent': 'warn', 'subsample': 0.8772727272727273, 'subsample_for_bin': 20000, 'subsample_freq': 0, 'is_unbalance': False}"
410,0.4459751343,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7555555555555555, 'importance_type': 'split', 'learning_rate': 0.040534448061466125, 'max_depth': -1, 'min_child_samples': 110, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 43, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.36693877551020404, 'reg_lambda': 0.88, 'silent': 'warn', 'subsample': 0.9090909090909092, 'subsample_for_bin': 180000, 'subsample_freq': 0, 'is_unbalance': True}"
922,0.4460179216,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7777777777777778, 'importance_type': 'split', 'learning_rate': 0.043027938576904165, 'max_depth': -1, 'min_child_samples': 120, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 36, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.923265306122449, 'reg_lambda': 0.5800000000000001, 'silent': 'warn', 'subsample': 0.6636363636363637, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'is_unbalance': False}"
937,0.4460372954,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8, 'importance_type': 'split', 'learning_rate': 0.06502404017277058, 'max_depth': -1, 'min_child_samples': 50, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 37, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.5012244897959184, 'reg_lambda': 0.8200000000000001, 'silent': 'warn', 'subsample': 0.6681818181818182, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'is_unbalance': True}"
707,0.4460765773,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6888888888888889, 'importance_type': 'split', 'learning_rate': 0.04367491908327431, 'max_depth': -1, 'min_child_samples': 40, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 141, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.2710204081632653, 'reg_lambda': 0.28, 'silent': 'warn', 'subsample': 0.5863636363636364, 'subsample_for_bin': 220000, 'subsample_freq': 0, 'is_unbalance': True}"
42,0.4460972616,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6222222222222222, 'importance_type': 'split', 'learning_rate': 0.044331627775317954, 'max_depth': -1, 'min_child_samples': 155, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 114, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.6355102040816325, 'reg_lambda': 0.5800000000000001, 'silent': 'warn', 'subsample': 0.7227272727272728, 'subsample_for_bin': 40000, 'subsample_freq': 0, 'is_unbalance': False}"
158,0.4461604382,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6888888888888889, 'importance_type': 'split', 'learning_rate': 0.2145850560280637, 'max_depth': -1, 'min_child_samples': 200, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 41, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.2518367346938775, 'reg_lambda': 0.4, 'silent': 'warn', 'subsample': 0.8590909090909091, 'subsample_for_bin': 80000, 'subsample_freq': 0, 'is_unbalance': False}"
935,0.4462263304,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7777777777777778, 'importance_type': 'split', 'learning_rate': 0.0531585061683662, 'max_depth': -1, 'min_child_samples': 190, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 69, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.9808163265306122, 'reg_lambda': 0.5, 'silent': 'warn', 'subsample': 0.7954545454545455, 'subsample_for_bin': 120000, 'subsample_freq': 0, 'is_unbalance': True}"
143,0.4462692798,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7333333333333334, 'importance_type': 'split', 'learning_rate': 0.05915943436341777, 'max_depth': -1, 'min_child_samples': 220, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 101, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.7697959183673468, 'reg_lambda': 0.52, 'silent': 'warn', 'subsample': 0.8181818181818182, 'subsample_for_bin': 120000, 'subsample_freq': 0, 'is_unbalance': True}"
516,0.446282545,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7555555555555555, 'importance_type': 'split', 'learning_rate': 0.15920917539015214, 'max_depth': -1, 'min_child_samples': 125, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 131, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.673877551020408, 'reg_lambda': 0.48000000000000004, 'silent': 'warn', 'subsample': 0.8045454545454546, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'is_unbalance': True}"
901,0.4463064153,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7111111111111111, 'importance_type': 'split', 'learning_rate': 0.10276425251809802, 'max_depth': -1, 'min_child_samples': 190, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 68, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.0983673469387755, 'reg_lambda': 0.62, 'silent': 'warn', 'subsample': 0.7318181818181819, 'subsample_for_bin': 140000, 'subsample_freq': 0, 'is_unbalance': True}"
974,0.4463665091,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6444444444444445, 'importance_type': 'split', 'learning_rate': 0.13816345566976007, 'max_depth': -1, 'min_child_samples': 130, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 39, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.48204081632653056, 'reg_lambda': 0.13999999999999999, 'silent': 'warn', 'subsample': 0.9863636363636363, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'is_unbalance': True}"
561,0.4463916359,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7333333333333334, 'importance_type': 'split', 'learning_rate': 0.22496991411118483, 'max_depth': -1, 'min_child_samples': 220, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 32, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.9808163265306122, 'reg_lambda': 0.42000000000000004, 'silent': 'warn', 'subsample': 0.7636363636363637, 'subsample_for_bin': 180000, 'subsample_freq': 0, 'is_unbalance': True}"
514,0.446411076,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6222222222222222, 'importance_type': 'split', 'learning_rate': 0.09396208678331937, 'max_depth': -1, 'min_child_samples': 130, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 64, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.8273469387755101, 'reg_lambda': 0.12000000000000001, 'silent': 'warn', 'subsample': 0.6954545454545455, 'subsample_for_bin': 260000, 'subsample_freq': 0, 'is_unbalance': True}"
925,0.4464162435,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6888888888888889, 'importance_type': 'split', 'learning_rate': 0.18808129828586168, 'max_depth': -1, 'min_child_samples': 215, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 65, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.2518367346938775, 'reg_lambda': 0.46, 'silent': 'warn', 'subsample': 0.6636363636363637, 'subsample_for_bin': 120000, 'subsample_freq': 0, 'is_unbalance': True}"
199,0.4464734601,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.8, 'importance_type': 'split', 'learning_rate': 0.1771818931802962, 'max_depth': -1, 'min_child_samples': 195, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 95, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.3861224489795918, 'reg_lambda': 0.1, 'silent': 'warn', 'subsample': 0.8681818181818182, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'is_unbalance': False}"
789,0.4464843824,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6, 'importance_type': 'split', 'learning_rate': 0.15035645521541582, 'max_depth': -1, 'min_child_samples': 160, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 128, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.6546938775510203, 'reg_lambda': 0.1, 'silent': 'warn', 'subsample': 0.8318181818181818, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'is_unbalance': True}"
727,0.446509931,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6888888888888889, 'importance_type': 'split', 'learning_rate': 0.10935750805032196, 'max_depth': -1, 'min_child_samples': 45, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 129, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.7314285714285713, 'reg_lambda': 0.98, 'silent': 'warn', 'subsample': 0.790909090909091, 'subsample_for_bin': 80000, 'subsample_freq': 0, 'is_unbalance': False}"
834,0.4465444438,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7333333333333334, 'importance_type': 'split', 'learning_rate': 0.05198169234935312, 'max_depth': -1, 'min_child_samples': 195, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 36, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.7122448979591836, 'reg_lambda': 0.34, 'silent': 'warn', 'subsample': 0.7136363636363636, 'subsample_for_bin': 220000, 'subsample_freq': 0, 'is_unbalance': False}"
445,0.4465487752,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7777777777777778, 'importance_type': 'split', 'learning_rate': 0.20775719555919356, 'max_depth': -1, 'min_child_samples': 190, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 46, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.21346938775510202, 'reg_lambda': 0.16, 'silent': 'warn', 'subsample': 0.7681818181818182, 'subsample_for_bin': 20000, 'subsample_freq': 0, 'is_unbalance': True}"
873,0.4466341075,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6666666666666666, 'importance_type': 'split', 'learning_rate': 0.19965118404564589, 'max_depth': -1, 'min_child_samples': 215, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 64, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.4244897959183673, 'reg_lambda': 0.34, 'silent': 'warn', 'subsample': 0.7181818181818183, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'is_unbalance': False}"
92,0.4466437148,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6666666666666666, 'importance_type': 'split', 'learning_rate': 0.11127828810198619, 'max_depth': -1, 'min_child_samples': 65, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 129, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.9424489795918367, 'reg_lambda': 0.5800000000000001, 'silent': 'warn', 'subsample': 0.9045454545454545, 'subsample_for_bin': 20000, 'subsample_freq': 0, 'is_unbalance': False}"
313,0.4466572867,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7777777777777778, 'importance_type': 'split', 'learning_rate': 0.23703361182430854, 'max_depth': -1, 'min_child_samples': 170, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 66, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.48204081632653056, 'reg_lambda': 0.32, 'silent': 'warn', 'subsample': 0.8136363636363637, 'subsample_for_bin': 240000, 'subsample_freq': 0, 'is_unbalance': False}"
659,0.4466722449,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6888888888888889, 'importance_type': 'split', 'learning_rate': 0.23006300923415504, 'max_depth': -1, 'min_child_samples': 220, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 81, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.7889795918367346, 'reg_lambda': 0.02, 'silent': 'warn', 'subsample': 0.9772727272727273, 'subsample_for_bin': 40000, 'subsample_freq': 0, 'is_unbalance': False}"
606,0.446723661,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7333333333333334, 'importance_type': 'split', 'learning_rate': 0.10048927526270228, 'max_depth': -1, 'min_child_samples': 165, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 101, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.7506122448979591, 'reg_lambda': 0.02, 'silent': 'warn', 'subsample': 0.7045454545454546, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'is_unbalance': True}"
74,0.4467301285,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6444444444444445, 'importance_type': 'split', 'learning_rate': 0.04945898328178117, 'max_depth': -1, 'min_child_samples': 200, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 88, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.17510204081632652, 'reg_lambda': 0.52, 'silent': 'warn', 'subsample': 0.7590909090909091, 'subsample_for_bin': 140000, 'subsample_freq': 0, 'is_unbalance': False}"
