index,cross_entropy,hyper_params
151,0.4416026151,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7111111111111111, 'importance_type': 'split', 'learning_rate': 0.07218466304766254, 'max_depth': -1, 'min_child_samples': 190, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 64, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.9424489795918367, 'reg_lambda': 0.76, 'silent': 'warn', 'subsample': 0.5636363636363637, 'subsample_for_bin': 100000, 'subsample_freq': 0, 'is_unbalance': True}"
285,0.4416289418,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6, 'importance_type': 'split', 'learning_rate': 0.05476913806446892, 'max_depth': -1, 'min_child_samples': 110, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 106, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.3285714285714285, 'reg_lambda': 0.76, 'silent': 'warn', 'subsample': 0.9181818181818182, 'subsample_for_bin': 80000, 'subsample_freq': 0, 'is_unbalance': True}"
43,0.4416747318,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6, 'importance_type': 'split', 'learning_rate': 0.1568507226425627, 'max_depth': -1, 'min_child_samples': 90, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 125, 'objective': None, 'random_state': 20231231, 'reg_alpha': 1.0, 'reg_lambda': 0.8, 'silent': 'warn', 'subsample': 0.5954545454545455, 'subsample_for_bin': 220000, 'subsample_freq': 0, 'is_unbalance': True}"
200,0.4417095816,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6888888888888889, 'importance_type': 'split', 'learning_rate': 0.07511542307577306, 'max_depth': -1, 'min_child_samples': 160, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 83, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.8273469387755101, 'reg_lambda': 0.8, 'silent': 'warn', 'subsample': 0.7818181818181819, 'subsample_for_bin': 100000, 'subsample_freq': 0, 'is_unbalance': True}"
4,0.4417404268,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6222222222222222, 'importance_type': 'split', 'learning_rate': 0.07934048863678063, 'max_depth': -1, 'min_child_samples': 195, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 88, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.0983673469387755, 'reg_lambda': 0.52, 'silent': 'warn', 'subsample': 0.8909090909090909, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'is_unbalance': True}"
601,0.4417823263,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6, 'importance_type': 'split', 'learning_rate': 0.05685122523114635, 'max_depth': -1, 'min_child_samples': 135, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 56, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.6930612244897958, 'reg_lambda': 0.74, 'silent': 'warn', 'subsample': 0.8136363636363637, 'subsample_for_bin': 140000, 'subsample_freq': 0, 'is_unbalance': False}"
66,0.4418436764,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6666666666666666, 'importance_type': 'split', 'learning_rate': 0.044663675816626704, 'max_depth': -1, 'min_child_samples': 40, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 61, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.7889795918367346, 'reg_lambda': 0.76, 'silent': 'warn', 'subsample': 0.75, 'subsample_for_bin': 20000, 'subsample_freq': 0, 'is_unbalance': False}"
696,0.4418719263,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6, 'importance_type': 'split', 'learning_rate': 0.05395781281368038, 'max_depth': -1, 'min_child_samples': 130, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 83, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.6163265306122447, 'reg_lambda': 0.8, 'silent': 'warn', 'subsample': 0.7590909090909091, 'subsample_for_bin': 260000, 'subsample_freq': 0, 'is_unbalance': True}"
628,0.4418777565,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6444444444444445, 'importance_type': 'split', 'learning_rate': 0.0531585061683662, 'max_depth': -1, 'min_child_samples': 140, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 123, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.7122448979591836, 'reg_lambda': 0.54, 'silent': 'warn', 'subsample': 0.55, 'subsample_for_bin': 240000, 'subsample_freq': 0, 'is_unbalance': False}"
269,0.4419253036,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6, 'importance_type': 'split', 'learning_rate': 0.05857374159381072, 'max_depth': -1, 'min_child_samples': 170, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 99, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.07918367346938775, 'reg_lambda': 0.13999999999999999, 'silent': 'warn', 'subsample': 0.7681818181818182, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'is_unbalance': False}"
